Carrier Number,Locality Number,State ,Fee Schedule Area ,Counties
,,,,
10102,0,ALABAMA ,STATEWIDE ,ALL COUNTIES 
,,,,
2102,1,ALASKA ,STATEWIDE ,ALL COUNTIES 
,,,,
3102,0,ARIZONA ,STATEWIDE ,ALL COUNTIES 
,,,,
7102,13,ARKANSAS ,STATEWIDE ,ALL COUNTIES 
,,,,
1182,26,CALIFORNIA ,ANAHEIM/SANTA ANA,ORANGE 
1182,18,,LOS ANGELES,LOS ANGELES 
1112,3,,MARIN/NAPA/SOLANO,"MARIN, NAPA, AND SOLANO"
1112,7,,OAKLAND/BERKLEY,ALAMEDA AND CONTRA COSTA
1112,5,,SAN FRANCISCO,SAN FRANCISCO 
1112,6,,SAN MATEO,SAN MATEO 
1112,9,,SANTA CLARA,SANTA CLARA 
1182,17,,VENTURA,VENTURA 
1182,99,,REST OF STATE*,ALL OTHER COUNTIES 
1112,99,,REST OF STATE*,ALL OTHER COUNTIES
,,,,
4112,1,COLORADO ,STATEWIDE ,ALL COUNTIES 
,,,,
13102,0,CONNECTICUT ,STATEWIDE ,ALL COUNTIES 
,,,,
12102,1,DELAWARE ,STATEWIDE ,ALL COUNTIES 
,,,,
12202,1,DISTRICT OF COLUMBIA ,DC + MD/VA SUBURBS ,"DISTRICT OF COLUMBIA; ALEXANDRIA CITY, ARLINGTON, FAIRFAX, FAIRFAX CITY, FALLS CHURCH CITY IN VIRGINIA; MONTGOMERY AND PRINCE GEORGE'S IN MARYLAND"
,,,,
9102,3,FLORIDA ,FORT LAUDERDALE,"BROWARD, COLLIER, INDIAN RIVER, LEE, MARTIN, PALM BEACH, AND ST. LUCIE"
9102,4,,MIAMI,DADE AND MONROE
9102,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
10202,1,GEORGIA ,ATLANTA,"BUTTS, CHEROKEE, CLAYTON, COBB, DEKALB, DOUGLAS, FAYETTE, FORSYTH, FULTON, GWINNETT, HENRY, NEWTON, PAULDING, ROCKDALE AND WALTON"
10202,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
1212,1,HAWAII/GUAM,STATEWIDE ,ALL COUNTIES 
,,,,
2202,0,IDAHO ,STATEWIDE ,ALL COUNTIES 
,,,,
6102,16,ILLINOIS ,CHICAGO,COOK 
6102,12,,EAST ST. LOUIS,"BOND, CALHOUN, CLINTON, JERSEY, MACOUPIN, MADISON, MONROE, MONTGOMERY, RANDOLPH, ST. CLAIR AND WASHINGTON"
6102,15,,SUBURBAN CHICAGO,"DUPAGE, KANE, LAKE AND WILL"
6102,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
8102,0,INDIANA ,STATEWIDE ,ALL COUNTIES 
,,,,
5102,0,IOWA ,STATEWIDE ,ALL COUNTIES 
,,,,
5202,0,KANSAS ,STATEWIDE* ,ALL COUNTIES 
 , , , , 
,,,,
15102,0,KENTUCKY ,STATEWIDE ,ALL COUNTIES 
,,,,
7202,1,LOUISIANA ,NEW ORLEANS,"JEFFERSON, ORLEANS, PLAQUEMINES AND ST. BERNARD"
7202,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
14102,3,MAINE ,SOUTHERN MAINE ,CUMBERLAND AND YORK
14102,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
12302,1,MARYLAND ,BALTIMORE/SURR. CNTYS,"ANNE ARUNDEL, BALTIMORE, BALTIMORE CITY, CARROLL, HARFORD AND HOWARD"
12302,99,,REST OF STATE ,ALL OTHER COUNTIES EXCEPT MONTGOMERY AND PRINCE GEORGE'S
,,,,
14202,1,MASSACHUSETTS ,METROPOLITAN BOSTON ,"MIDDLESEX, NORFOLK AND SUFFOLK"
14202,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
8202,1,MICHIGAN ,DETROIT,"MACOMB, OAKLAND, WASHTENAW AND WAYNE"
8202,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
6202,0,MINNESOTA ,STATEWIDE ,ALL COUNTIES 
,,,,
7302,0,MISSISSIPPI ,STATEWIDE ,ALL COUNTIES 
,,,,
5302,2,MISSOURI ,METROPOLITAN KANSAS CITY,"CLAY, JACKSON AND PLATTE"
5302,1,,METROPOLITAN ST. LOUIS,"JEFFERSON, ST. CHARLES, ST. LOUIS AND ST. LOUIS CITY"
5302,99,,REST OF STATE*,ALL OTHER COUNTIES
,,,,
3202,1,MONTANA ,STATEWIDE ,ALL COUNTIES 
,,,,
5402,0,NEBRASKA ,STATEWIDE ,ALL COUNTIES 
,,,,
1312,0,NEVADA ,STATEWIDE ,ALL COUNTIES 
,,,,
14302,40,NEW HAMPSHIRE ,STATEWIDE ,ALL COUNTIES 
,,,,
12402,1,NEW JERSEY ,NORTHERN NJ ,"BERGEN, ESSEX, HUDSON, HUNTERDON, MIDDLESEX, MORRIS, PASSAIC, SOMERSET, SUSSEX, UNION AND WARREN"
12402,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
4212,5,NEW MEXICO ,STATEWIDE ,ALL COUNTIES 
,,,,
13202,1,NEW YORK ,MANHATTAN,NEW YORK 
13202,2,,NYC SUBURBS/LONG ISLAND,"BRONX, KINGS, NASSAU, RICHMOND, ROCKLAND, SUFFOLK AND WESTCHESTER"
13202,3, ,POUGHKPSIE/N NYC SUBURBS,"COLUMBIA, DELAWARE, DUTCHESS, GREENE, ORANGE, PUTNAM, SULLIVAN AND ULSTER"
13292,4,,QUEENS,QUEENS 
13282,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
11502,0,NORTH CAROLINA ,STATEWIDE ,ALL COUNTIES 
,,,,
3302,1,NORTH DAKOTA ,STATEWIDE ,ALL COUNTIES 
,,,,
15202,0,OHIO ,STATEWIDE ,ALL COUNTIES 
,,,,
4312,0,OKLAHOMA ,STATEWIDE ,ALL COUNTIES 
,,,,
2302,1,OREGON ,PORTLAND,"CLACKAMAS, MULTNOMAH AND WASHINGTON"
2302,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
12502,1,PENNSYLVANIA ,METROPOLITAN PHILADELPHIA,"BUCKS, CHESTER, DELAWARE, MONTGOMERY AND PHILADELPHIA"
12502,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
9202,20,PUERTO RICO ,PUERTO RICO,ALL COUNTY EQUIVALENTS
,,,,
14402,1,RHODE ISLAND ,STATEWIDE ,ALL COUNTIES 
,,,,
11202,1,SOUTH CAROLINA ,STATEWIDE ,ALL COUNTIES 
,,,,
3402,2,SOUTH DAKOTA ,STATEWIDE ,ALL COUNTIES 
,,,,
10302,35,TENNESSEE ,STATEWIDE ,ALL COUNTIES 
,,,,
4412,31,TEXAS ,AUSTIN,TRAVIS 
4412,20,,BEAUMONT,JEFFERSON 
4412,9,,BRAZORIA,BRAZORIA 
4412,11,,DALLAS,DALLAS 
4412,28,,FORT WORTH,TARRANT 
4412,15,,GALVESTON,GALVESTON 
4412,18,,HOUSTON,HARRIS 
4412,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
3502,9,UTAH ,STATEWIDE ,ALL COUNTIES 
,,,,
14502,50,VERMONT ,STATEWIDE ,ALL COUNTIES 
,,,,
9202,50,VIRGIN ISLANDS ,VIRGIN ISLANDS ,ALL COUNTY EQUIVALENTS
,,,,
11302,0,VIRGINIA,STATEWIDE,"ALL COUNTIES, EXCEPT ALEXANDRIA CITY, ARLINGTON, FAIRFAX, FAIRFAX CITY, AND FALLS CHURCH CITY"
,,,,
2402,2,WASHINGTON ,SEATTLE (KING CNTY),KING 
2402,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
11402,16,WEST VIRGINIA ,STATEWIDE ,ALL COUNTIES 
,,,,
6302,0,WISCONSIN ,STATEWIDE ,ALL COUNTIES 
,,,,
3602,21,WYOMING ,STATEWIDE ,ALL COUNTIES 
,,,,
,,,,
*  Payment locality is serviced by two carriers.,,,,